姓名,帐号,手机号,邮箱,所在部门,职位,性别,是否部门内领导,排序,别名,地址,座机,禁用,禁用项说明：(0-启用;1-禁用)
池亭其,10,11534773165,hoaf1755657huang3@163.com,10,组长,1,,,,,,0,
鲁栋国,11,11557744615,laki78002765sush@163.com,10,组员,1,,,,,,0,
卫蔽珠,12,18677394315,bgos7217171te@163.com,10,组员,2,,,,,,0,
宁古薄,13,18207736578,hr95214827liaodao@163.com,11,组长,1,,,,,,0,
刘慕骏,14,15676405842,xinxiangshicheng29@163.com,11,组员,1,,,,,,0,
龙壬薇,15,18178746581,zhangxindeailian@163.com,11,组员,2,,,,,,0,
邹度承,16,18777328956,2624586385@qq.com,12,组长,1,,,,,,0,
周谷岩,17,18354867924,1012286428@qq.com,12,组员,1,,,,,,0,
吴川宜,18,18321463258,794187615@qq.com,12,组员,2,,,,,,0,
尤三耀,19,13876258726,764184358@qq.com,13,组长,1,,,,,,0,
龚佩义,2,13878384924,oko7190962ta@163.com,7,组员,1,,,,,,0,
林必立,20,18002548632,356794572@qq.com,13,组员,1,,,,,,0,
张存丽,21,18531520214,978437215@qq.com,13,组员,2,,,,,,0,
侯谊玉,22,18176215634,846721545@qq.com,14,组长,1,,,,,,0,
费竞凡,23,13005478921,1134576557@qq.com,14,组员,1,,,,,,0,
何颖升,24,18594397146,3461946167@qq.com,14,组员,2,,,,,,0,
刘玉,25,18254684246,846781345@qq.com,15,组长,1,,,,,,0,
梁真,26,14798215574,764812435@qq.com,15,组员,1,,,,,,0,
洪令艺,27,15295842215,648173545@qq.com,15,组员,2,,,,,,0,
郑夜洲,28,18677359845,1215614826@qq.com,16,组长,1,,,,,,0,
王屏迎,29,18677462546,658132565@qq.com,16,组员,1,,,,,,0,
路壁桥,3,13878383486,zd0746263yuem@163.com,7,组员,2,,,,,,0,
陈启红,30,15075846216,658647485@qq.com,16,组员,2,,,,,,0,
何翼宪,4,13878381643,oll6907573taoy@163.com,8,组长,1,,,,,,0,
严君岚,5,13977215861,skxs55899248che@163.com,8,组员,1,,,,,,0,
彭煌彤,6,15293381354,sojc9545341shansi@163.com,8,组员,2,,,,,,0,
侯真堂,7,18174183128,y53677311luboxio@163.com,9,组长,1,,,,,,0,
张侠皆,8,13557339412,bxpq3831507yishao@163.com,9,组员,1,,,,,,0,
车瑛鸿,9,18977315713,dnkw45915878ken@163.com,9,组员,2,,,,,,0,
